Month,Volume (in Mn.),Avg. Daily Volume (in Mn.)
24-Jan,"12,203.02",393.65
24-Feb,"12,102.67",417.33
24-Mar,"13,440.00",433.55
24-Apr,"13,303.99",443.47
24-May,"14,035.84",452.77
24-Jun,"13,885.14",462.84
24-Jul,"14,435.55",465.66
24-Aug,"14,963.05",482.68
24-Sep,"15,041.75",501.39
24-Oct,"16,584.97",535
24-Nov,"15,482.02",516.07
24-Dec,"16,730.01",539.68
