Month,Volume (in Mn.),Avg. Daily Volume (in Mn.)
24-Jan,211.87,6.83
24-Feb,296.58,10.23
24-Mar,301.45,9.72
24-Apr,253.53,8.45
24-May,229.55,7.4
24-Jun,292.93,9.76
24-Jul,248.14,8
24-Aug,278.33,8.98
24-Sep,234.24,7.81
24-Oct,402.19,12.97
24-Nov,225.1,7.5
24-Dec,245.14,7.91
