Month,Volume (in Mn.),Avg. Daily Volume (in Mn.)
24-Jan,54.72,1.77
24-Feb,54.19,1.87
24-Mar,58.53,1.89
24-Apr,52.57,1.75
24-May,52.44,1.69
24-Jun,48.44,1.61
24-Jul,53.1,1.71
24-Aug,50.85,1.64
24-Sep,48.49,1.62
24-Oct,54.7,1.76
24-Nov,47.25,1.57
24-Dec,50.66,1.63
