Month,Volume (in Mn.),Avg. Daily Volume (in Mn.)
24-Jan,331.38,10.69
24-Feb,323.43,11.15
24-Mar,338.73,10.93
24-Apr,328.1,10.94
24-May,347.36,11.21
24-Jun,334.41,11.15
24-Jul,322.74,10.41
24-Aug,328.99,10.61
24-Sep,318.4,10.61
24-Oct,344.96,11.13
24-Nov,358.85,11.96
24-Dec,381.98,12.32
