Month,Volume (in Mn.),Avg. Daily Volume (in Mn.)
24-Jan,508.79,16.41
24-Feb,534.64,18.44
24-Mar,580.64,18.73
24-Apr,550.37,18.35
24-May,557.7,17.99
24-Jun,516.75,17.23
24-Jul,490.28,15.82
24-Aug,453.34,14.62
24-Sep,429.94,14.33
24-Oct,466.82,15.06
24-Nov,407.92,13.6
24-Dec,441.16,14.23
