Month,Volume (in Mn.),Avg. Daily Volume (in Mn.)
24-Jan,313.73,10.12
24-Feb,304.52,10.5
24-Mar,328.77,10.61
24-Apr,312.76,10.43
24-May,307.71,9.93
24-Jun,302.55,10.09
24-Jul,298.74,9.64
24-Aug,304.34,9.82
24-Sep,292.89,9.76
24-Oct,329.11,10.62
24-Nov,280.81,9.36
24-Dec,291.67,9.41
