Month,Volume (in Mn.),Avg. Daily Volume (in Mn.)
24-Jan,1.88,0.06
24-Feb,1.54,0.05
24-Mar,2.27,0.07
24-Apr,2.05,0.07
24-May,1.93,0.06
24-Jun,2.11,0.07
24-Jul,1.93,0.06
24-Aug,1.91,0.06
24-Sep,1.88,0.06
24-Oct,2.45,0.08
24-Nov,1.93,0.06
24-Dec,1.72,0.06
