Month,Volume (in Mn.),Avg. Daily Volume (in Mn.)
24-Jan,83.97,2.71
24-Feb,81.22,2.8
24-Mar,105.96,3.42
24-Apr,91.91,3.06
24-May,87.98,2.84
24-Jun,97.38,3.25
24-Jul,94.43,3.05
24-Aug,97.3,3.14
24-Sep,97.51,3.25
24-Oct,122.73,3.96
24-Nov,89.83,2.99
24-Dec,91.09,2.94
